period;cod_cod;cod_id;cod_name;city;stratum;year;semester;school_state;school_city;faculty;program;cod_snies;knowledge_area;shift;age;civil_status;gender;residence_zone;foreign;school_name;school_calendar;school_character;school_language;school_methodology;academic_aid;financial_aid;other_aid;study_and_work;age_mod;cantidad_matriculas;Cluster
2014-01;5607C;10000U;6386N;cali;2;2014;1;valle del cauca;cali;Engineering;ingenieria mecanica;20096;ingenieria arquitectura urbanismo y afines;nocturna;19;soltero;M;nd;no;instituto tecnico industrial san juan bosco cali;b;masculino;nd;nd;nd;nd;nd;nd;15-20;1;0
2013-03;5234C;10001U;13530N;cali;4;2013;2;valle del cauca;cali;Administrative Sciences;contaduria publica;20109;economia administracion contaduria y afines;nocturna;18;soltero;F;nd;no;colegio de nuestra senora de la consolacion cali;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;1
2017-01;9197C;10002U;2722N;cali;2;2017;1;valle del cauca;cali;Administrative Sciences;contaduria publica;20109;economia administracion contaduria y afines;nocturna;21;soltero;M;urbana;no;institucion educativa tecnico industrial diez de mayo;a;mixto;ingles:frances;educacion tradicional;si;si;si;si;21-25;2;1
2016-01;8426C;10003U;9128N;cali;3;2016;1;valle del cauca;cali;Engineering;ingenieria electrica;20113;ingenieria arquitectura urbanismo y afines;nocturna;20;soltero;M;nd;no;colegio santa isabel de hungria sede alfonso lopez;b;mixto;espanol;educacion tradicional;nd;nd;nd;no;15-20;1;0
2014-01;5472C;10004U;623N;cali;5;2014;1;valle del cauca;cali;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;18;union libre;F;nd;no;colegio santa maria stella maris;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2015-03;7486C;10005U;2646N;tulua;4;2015;2;valle del cauca;tulua;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;diurna;20;soltero;M;nd;no;colegio salesiano san juan bosco tulua;a;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2014-03;6437C;10006U;17215N;cali;6;2014;2;valle del cauca;cali;Engineering;ingenieria mecanica;20096;ingenieria arquitectura urbanismo y afines;nocturna;19;soltero;M;nd;no;colegio los andes cali;a;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2014-01;5591C;10007U;4695N;cali;5;2014;1;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;diurna;19;soltero;F;nd;no;institucion educativa tecnico industrial jose maria carbonell;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2016-03;8893C;10008U;274N;cali;6;2016;2;valle del cauca;cali;Engineering;diseno industrial;103338;bellas artes;diurna;21;soltero;M;urbana;no;colegio los andes cali;b;mixto;espanol:ingles;aceleracion del aprendizaje;si;no;no;no;21-25;1;0
2018-01;11054C;10009U;4827N;cali;5;2018;1;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;diurna;22;soltero;F;urbana;no;institucion educativa tecnico de comercio santa cecilia;b;mixto;espanol:ingles;educacion tradicional;no;no;no;si;21-25;1;1
2020-01;13699C;1000U;13073N;corinto;1;2020;1;cauca;corinto;Engineering;ingenieria multimedia;20146;ingenieria arquitectura urbanismo y afines;diurna;17;soltero;M;nd;no;nucleo escolar rural de corinto;a;mixto;espanol;educacion tradicional;nd;nd;nd;nd;15-20;1;0
2014-01;5810C;10010U;4067N;cali;4;2014;1;valle del cauca;cali;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;18;soltero;F;nd;no;colegio americas unidas;b;femenino;nd;nd;nd;nd;nd;nd;15-20;1;0
2014-01;5393C;10011U;8410N;candelaria;2;2014;1;valle del cauca;cali;Engineering;ingenieria electrica;20113;ingenieria arquitectura urbanismo y afines;nocturna;18;soltero;M;nd;no;colegio san francisco de asis cali;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2015-01;7087C;10012U;12241N;cali;3;2015;1;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;diurna;19;soltero;F;nd;no;colegio fe y esperanza mision panamericana;b;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2013-01;4026C;10013U;7002N;cali;3;2013;1;valle del cauca;cali;Engineering;ingenieria multimedia;20146;ingenieria arquitectura urbanismo y afines;diurna;17;soltero;M;nd;no;colegio luis carlos galan sarmiento cali;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2013-03;4865C;10014U;16576N;cali;2;2013;2;valle del cauca;cali;Engineering;ingenieria industrial;20095;ingenieria arquitectura urbanismo y afines;nocturna;17;soltero;M;nd;no;nd;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2014-03;6161C;10015U;2515N;cali;4;2014;2;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;nocturna;18;soltero;M;nd;no;colegio lauretta bender;a;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2014-03;6318C;10016U;324N;cali;4;2014;2;valle del cauca;cali;Engineering;ingenieria ambiental;53485;ingenieria arquitectura urbanismo y afines;diurna;18;soltero;M;nd;no;instituto tecnico industrial san juan bosco cali;b;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2013-01;4447C;10017U;8678N;cali;5;2013;1;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;diurna;17;soltero;M;nd;no;colegio catolico;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2014-03;6220C;10018U;6477N;cali;3;2014;2;valle del cauca;palmira;Engineering;ingenieria electronica y telecomunicaciones;55170;ingenieria arquitectura urbanismo y afines;diurna;18;soltero;M;nd;no;nd;b;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2014-03;6167C;10020U;11671N;cali;2;2014;2;valle del cauca;cali;Engineering;ingenieria informatica;20115;ingenieria arquitectura urbanismo y afines;nocturna;18;soltero;M;nd;no;centro etnoeducativo antonio maceo pizamos i;b;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2013-03;5168C;10022U;17084N;cali;4;2013;2;valle del cauca;cali;Engineering;ingenieria electrica;20113;ingenieria arquitectura urbanismo y afines;nocturna;17;soltero;M;nd;no;colegio santa mariana de jesus cali;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2015-03;7536C;10023U;11552N;cali;5;2015;2;valle del cauca;cali;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;19;soltero;F;nd;no;instituto comercial del valle incoval;b;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2014-03;6212C;10024U;2274N;cali;4;2014;2;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;nocturna;18;soltero;F;nd;no;colegio santa dorotea;b;femenino;nd;nd;nd;nd;nd;nd;15-20;1;1
2016-01;8514C;10025U;12359N;cali;3;2016;1;valle del cauca;cali;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;20;soltero;F;nd;no;colegio la presentacion el paraiso;b;femenino;espanol;educacion tradicional;no;nd;no;no;15-20;1;0
2016-03;8847C;10026U;2557N;cali;5;2016;2;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;nocturna;20;soltero;M;urbana;no;colegio los andes cali;b;mixto;espanol;educacion tradicional;no;si;no;si;15-20;1;1
2016-01;8204C;10027U;3813N;cali;3;2016;1;valle del cauca;cali;Engineering;diseno industrial;103338;bellas artes;diurna;20;soltero;F;nd;no;colegio americano cali;b;mixto;espanol:ingles;educacion tradicional;nd;nd;nd;nd;15-20;1;0
2015-03;7303C;10028U;16616N;cali;4;2015;2;valle del cauca;cali;Engineering;ingenieria electrica;20113;ingenieria arquitectura urbanismo y afines;nocturna;19;soltero;M;nd;no;institucion educativa normal superior santiago de cali;a;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2019-01;12427C;1002U;5746N;cali;1;2019;1;valle del cauca;cali;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;18;soltero;M;urbana;no;institucion educativa nelson garces vernaza;a;femenino;espanol;educacion tradicional;no;si;no;no;15-20;1;0
2013-01;4462C;10030U;18538N;cali;3;2013;1;putumayo;puerto leguizamo;Engineering;ingenieria ambiental;53485;ingenieria arquitectura urbanismo y afines;diurna;17;soltero;F;nd;no;colegio nacional jose maria hernandez;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2015-01;6737C;10031U;858N;cali;2;2015;1;valle del cauca;cali;Administrative Sciences;contaduria publica;20109;economia administracion contaduria y afines;nocturna;19;soltero;F;nd;no;colegio parroquial san joaquin;a;mixto;nd;nd;nd;nd;nd;nd;15-20;1;1
2015-03;7656C;10032U;4619N;cali;5;2015;2;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;diurna;19;soltero;F;nd;no;colegio san luis gonzaga cali;b;mixto;nd;nd;nd;nd;nd;nd;15-20;1;1
2016-01;7854C;10033U;17733N;cali;5;2016;1;valle del cauca;cali;humanities and arts;cine y comunicacion digital;54405;bellas artes;diurna;20;soltero;F;nd;no;fundacion educativa lideres;b;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2019-03;12702C;10034U;7180N;cali;3;2019;2;valle del cauca;cali;humanities and arts;diseno de la comunicacion grafica;20118;bellas artes;diurna;23;soltero;M;urbana;no;institucion educativa general francisco de paula santander;a;mixto;espanol;educacion tradicional;no;no;no;si;21-25;1;1
2013-03;5147C;10036U;10003N;cali;3;2013;2;valle del cauca;cali;Engineering;ingenieria industrial;20095;ingenieria arquitectura urbanismo y afines;diurna;17;soltero;M;nd;no;nd;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2014-03;5942C;10037U;14337N;cali;4;2014;2;valle del cauca;cali;Engineering;ingenieria mecanica;20096;ingenieria arquitectura urbanismo y afines;diurna;18;soltero;M;nd;no;institucion educativa liceo departamental;a;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2018-03;11913C;10038U;5192N;cali;3;2018;2;choco;san jose del palmar;Engineering;ingenieria industrial;20095;ingenieria arquitectura urbanismo y afines;diurna;22;soltero;M;urbana;no;escuela normal superior la inmaculada;a;mixto;espanol;educacion tradicional;si;si;no;si;21-25;1;0
2020-01;14113C;1003U;7131N;cali;2;2020;1;valle del cauca;cali;Engineering;ingenieria mecatronica;20104;ingenieria arquitectura urbanismo y afines;diurna;17;soltero;M;nd;no;institucion educativa santa rosa;a;mixto;espanol:ingles;educacion tradicional;nd;nd;nd;nd;15-20;1;0
2014-03;5994C;10041U;1986N;cali;4;2014;2;meta;puerto lopez;humanities and arts;cine y comunicacion digital;54405;bellas artes;diurna;18;soltero;M;nd;no;instituto vocacional adventista del llano;a;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2018-03;11292C;10042U;2863N;cali;4;2018;2;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;diurna;22;soltero;F;urbana;no;colegio nuestra senora de la gracia;b;mixto;espanol;educacion tradicional;no;no;no;no;21-25;1;1
2016-01;8523C;10044U;17446N;cali;4;2016;1;valle del cauca;cali;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;20;soltero;F;nd;no;instituto comercial del valle incoval;b;mixto;espanol;educacion tradicional;nd;nd;nd;no;15-20;1;0
2017-01;9757C;10045U;2695N;cali;4;2017;1;valle del cauca;cali;Engineering;ingenieria industrial;20095;ingenieria arquitectura urbanismo y afines;diurna;21;soltero;M;urbana;no;instituto ser internacional cali;b;mixto;espanol;aceleracion del aprendizaje;no;no;no;no;21-25;1;0
2016-01;7991C;10046U;1131N;cali;4;2016;1;valle del cauca;cali;Engineering;ingenieria informatica;20115;ingenieria arquitectura urbanismo y afines;diurna;20;soltero;M;nd;no;colegio leonistico la merced;b;mixto;espanol;educacion tradicional;nd;nd;nd;nd;15-20;1;0
2016-01;8540C;10047U;14416N;cali;3;2016;1;valle del cauca;cali;Engineering;ingenieria industrial;20095;ingenieria arquitectura urbanismo y afines;diurna;20;soltero;F;nd;no;colegio el carmelo cali;b;femenino;espanol;educacion tradicional;nd;nd;nd;si;15-20;1;0
2014-03;6143C;10048U;3661N;cali;3;2014;2;valle del cauca;cali;communication and social sciences;economia;20107;economia administracion contaduria y afines;nocturna;18;soltero;M;nd;no;colegio tecnico inprovacc;a;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2015-03;7586C;10049U;5981N;cali;3;2015;2;valle del cauca;cali;Engineering;diseno industrial;103338;bellas artes;diurna;19;soltero;M;nd;no;colegio veinte de julio;a;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2018-01;10889C;1004U;5342N;santander de quilichao;3;2018;1;cauca;santander de quilichao;Engineering;ingenieria mecanica;20096;ingenieria arquitectura urbanismo y afines;diurna;20;soltero;M;rural;no;colegio ana josefa morales duque;a;mixto;espanol;educacion tradicional;no;no;no;no;15-20;1;0
2014-01;5726C;10050U;2106N;cali;2;2014;1;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;diurna;18;soltero;F;nd;no;colegio nuestra senora de la anunciacion;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;1
2013-01;4430C;10051U;12988N;cali;1;2013;1;valle del cauca;cali;Engineering;ingenieria multimedia;20146;ingenieria arquitectura urbanismo y afines;diurna;17;soltero;M;nd;no;colegio eustaquio palacios;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2014-03;6025C;10053U;10277N;cali;3;2014;2;valle del cauca;cali;Engineering;ingenieria mecanica;20096;ingenieria arquitectura urbanismo y afines;diurna;18;soltero;M;nd;no;colegio parroquial nuestra senora de los andes;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2015-01;7170C;10054U;13192N;cali;4;2015;1;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;diurna;19;soltero;F;nd;no;colegio nuestra senora de la gracia;b;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2016-01;8421C;10055U;10385N;cali;3;2016;1;valle del cauca;cali;Engineering;ingenieria industrial;20095;ingenieria arquitectura urbanismo y afines;nocturna;20;soltero;M;nd;no;colegio leon de greiff cali;b;mixto;espanol;educacion tradicional;no;nd;no;si;15-20;1;0
2013-03;4875C;10056U;4899N;cali;1;2013;2;valle del cauca;cali;Engineering;ingenieria ambiental;53485;ingenieria arquitectura urbanismo y afines;diurna;17;soltero;F;nd;no;colegio santa mariana de jesus cali;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2014-01;5415C;10057U;15229N;sevilla;2;2014;1;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;nocturna;18;soltero;F;nd;no;colegio ciudadela educativa la presentacion;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;1
2016-01;8340C;10058U;12704N;cali;3;2016;1;valle del cauca;cali;Engineering;ingenieria mecanica;20096;ingenieria arquitectura urbanismo y afines;nocturna;20;soltero;M;nd;no;centro docente juan de ampudia;b;mixto;espanol:ingles;ser;nd;nd;nd;no;15-20;1;0
2013-03;5107C;10059U;5874N;jamundi;3;2013;2;valle del cauca;jamundi;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;diurna;17;soltero;M;nd;no;colegio la merced jamundi;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2019-01;12467C;1005U;14964N;palmira;2;2019;1;valle del cauca;palmira;humanities and arts;cine y comunicacion digital;54405;bellas artes;diurna;17;soltero;F;urbana;no;institucion educativa san vicente palmira;a;femenino;espanol;educacion tradicional;no;no;no;no;15-20;1;1
2015-03;7462C;10060U;3853N;cali;5;2015;2;valle del cauca;cali;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;19;soltero;F;nd;no;liceo benalcazar;b;femenino;nd;nd;nd;nd;nd;nd;15-20;1;0
2013-03;4748C;10061U;1612N;cali;3;2013;2;valle del cauca;cali;Engineering;ingenieria biomedica;20151;ingenieria arquitectura urbanismo y afines;diurna;17;soltero;F;nd;no;colegio san pedro claver cali;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2015-03;7734C;10062U;4233N;cali;5;2015;2;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;diurna;19;soltero;M;nd;no;colegio los angeles del norte;b;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2016-03;8602C;10065U;449N;cali;3;2016;2;valle del cauca;cali;Engineering;ingenieria multimedia;20146;ingenieria arquitectura urbanismo y afines;diurna;20;soltero;M;urbana;no;colegio mayor santiago de cali;b;nd;espanol;educacion tradicional;no;si;no;no;15-20;1;0
2014-01;5703C;10067U;1649N;yumbo;3;2014;1;valle del cauca;yumbo;Engineering;ingenieria industrial;20095;ingenieria arquitectura urbanismo y afines;diurna;17;soltero;F;nd;no;colegio parroquial san francisco javier yumbo;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2016-03;8561C;10068U;8115N;cali;2;2016;2;valle del cauca;cali;Engineering;ingenieria industrial;20095;ingenieria arquitectura urbanismo y afines;nocturna;20;soltero;M;urbana;no;colegio los andes cali;a;mixto;espanol;educacion tradicional;no;no;no;si;15-20;1;1
2013-01;4343C;10069U;4202N;cali;2;2013;1;valle del cauca;cali;Engineering;ingenieria mecanica;20096;ingenieria arquitectura urbanismo y afines;diurna;16;soltero;M;nd;no;nd;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2016-01;8007C;1006U;5417N;padilla;1;2016;1;cauca;corinto;Engineering;ingenieria ambiental;53485;ingenieria arquitectura urbanismo y afines;diurna;16;soltero;F;nd;no;nucleo escolar rural de corinto;a;mixto;espanol;educacion tradicional;nd;nd;nd;nd;15-20;1;0
2017-01;9175C;10070U;10849N;cali;4;2017;1;valle del cauca;cali;Engineering;diseno industrial;103338;bellas artes;diurna;20;soltero;M;urbana;no;colegio san luis gonzaga cali;b;mixto;espanol;educacion tradicional;no;no;no;no;15-20;1;0
2015-03;7544C;10071U;15755N;cali;4;2015;2;valle del cauca;buenaventura;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;diurna;19;soltero;M;nd;no;institucion educativa escuela normal superior juan ladrilleros;a;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2015-01;6683C;10072U;10214N;cali;4;2015;1;valle del cauca;cali;Engineering;ingenieria ambiental;53485;ingenieria arquitectura urbanismo y afines;diurna;18;soltero;M;nd;no;colegio bilingue montessori;b;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2015-03;7328C;10073U;13129N;cali;1;2015;2;valle del cauca;cali;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;19;soltero;F;nd;no;institucion educativa politecnico municipal de cali;a;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2013-03;4679C;10075U;4212N;cali;2;2013;2;valle del cauca;cali;Engineering;ingenieria electrica;20113;ingenieria arquitectura urbanismo y afines;nocturna;17;soltero;M;nd;no;instituto tecnico industrial antonio jose camacho;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2016-01;8231C;10076U;10066N;santander de quilichao;1;2016;1;cauca;santander de quilichao;Engineering;ingenieria mecanica;20096;ingenieria arquitectura urbanismo y afines;diurna;19;soltero;M;nd;no;institucion educativa instituto tecnico de santander de quilichao;a;mixto;espanol;educacion tradicional;nd;nd;nd;nd;15-20;1;0
2016-03;8581C;10077U;7319N;florida;1;2016;2;valle del cauca;florida;Engineering;ingenieria ambiental;53485;ingenieria arquitectura urbanismo y afines;diurna;20;soltero;M;urbana;no;colegio ricardo nieto florida;a;mixto;espanol:ingles;educacion tradicional;no;si;no;si;15-20;1;0
2013-03;4935C;10079U;7545N;valle del cauca;3;2013;2;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;diurna;17;soltero;F;nd;no;colegio parroquial santiago apostol cali;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;1
2016-03;8624C;10080U;8716N;cali;4;2016;2;valle del cauca;cali;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;20;soltero;M;urbana;no;instituto comercial del valle incoval;b;mixto;ingles;educacion tradicional;nd;nd;nd;nd;15-20;1;1
2018-03;11230C;10081U;3966N;cali;4;2018;2;valle del cauca;cali;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;22;soltero;F;urbana;no;liceo benalcazar;b;femenino;espanol;educacion tradicional;no;no;no;no;21-25;1;1
2015-01;6898C;10082U;18808N;corinto;1;2015;1;cauca;corinto;Engineering;ingenieria biomedica;20151;ingenieria arquitectura urbanismo y afines;diurna;18;soltero;F;nd;no;institucion educativa jose maria obando;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2018-01;10940C;10083U;15438N;cali;2;2018;1;valle del cauca;cali;Administrative Sciences;administracion de empresas;20127;economia administracion contaduria y afines;diurna;22;soltero;M;urbana;no;colegio yizfred;a;mixto;espanol;educacion tradicional;no;si;no;si;21-25;1;1
2014-01;5446C;10084U;4560N;cali;2;2014;1;valle del cauca;cali;Engineering;ingenieria electrica;20113;ingenieria arquitectura urbanismo y afines;nocturna;17;soltero;M;nd;no;colegio ciudad cordoba;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2016-03;9066C;10085U;16778N;corinto;1;2016;2;cauca;corinto;Engineering;ingenieria informatica;20115;ingenieria arquitectura urbanismo y afines;diurna;20;soltero;F;urbana;no;institucion educativa jose maria obando;a;mixto;espanol;educacion tradicional;si;no;no;no;15-20;1;1
2013-01;4033C;10086U;3469N;oporapa;2;2013;1;huila;oporapa;Engineering;ingenieria mecatronica;20104;ingenieria arquitectura urbanismo y afines;diurna;16;soltero;M;nd;no;institucion educativa san jose oporapa;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2018-01;10944C;10087U;16876N;cali;1;2018;1;valle del cauca;yumbo;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;21;soltero;M;rural;no;institucion educativa leonor laurido de velasco;a;masculino;espanol;aceleracion del aprendizaje;no;si;si;si;21-25;1;0
2016-01;7841C;10088U;13246N;cali;3;2016;1;valle del cauca;cali;Administrative Sciences;administracion de empresas;20127;economia administracion contaduria y afines;diurna;19;soltero;F;nd;no;institucion educativa general francisco de paula santander;a;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2016-03;9112C;10089U;10397N;cali;4;2016;2;valle del cauca;cali;Engineering;ingenieria informatica;20115;ingenieria arquitectura urbanismo y afines;diurna;20;soltero;M;nd;no;colegio parroquial san pedro claver cali;nd;nd;nd;nd;nd;nd;nd;nd;15-20;4;0
2018-01;11079C;10090U;12868N;cali;3;2018;1;valle del cauca;cali;Engineering;ingenieria mecanica;20096;ingenieria arquitectura urbanismo y afines;nocturna;21;soltero;M;urbana;no;instituto comercial del valle incoval;a;mixto;espanol;educacion tradicional;no;no;no;no;21-25;1;0
2014-01;5659C;10091U;3534N;cali;3;2014;1;valle del cauca;cali;Administrative Sciences;contaduria publica;20109;economia administracion contaduria y afines;nocturna;17;soltero;F;nd;no;institucion educativa tecnica de comercio simon rodriguez;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2015-03;7492C;10092U;12910N;cali;2;2015;2;valle del cauca;cali;Engineering;ingenieria mecanica;20096;ingenieria arquitectura urbanismo y afines;diurna;19;soltero;M;nd;no;colegio nuestra senora de chiquinquira;b;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2016-01;8303C;10093U;6044N;cali;3;2016;1;valle del cauca;cali;humanities and arts;diseno de la comunicacion grafica;20118;bellas artes;diurna;19;soltero;F;nd;no;instituto bolivariano esdisenos cali;a;mixto;ingles;educacion tradicional;nd;nd;nd;nd;15-20;1;0
2015-01;7031C;10094U;11587N;cali;2;2015;1;valle del cauca;cali;communication and social sciences;economia;20107;economia administracion contaduria y afines;diurna;18;soltero;F;nd;no;institucion educativa santa fe cali;a;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2019-01;12251C;10096U;10040N;cali;5;2019;1;valle del cauca;cali;humanities and arts;cine y comunicacion digital;54405;bellas artes;diurna;22;soltero;M;urbana;no;instituto tecnico industrial comuna diecisiete;a;mixto;ingles;educacion tradicional;no;si;no;no;21-25;1;0
2014-03;6079C;10097U;9053N;florida;2;2014;2;valle del cauca;cali;Engineering;ingenieria electrica;20113;ingenieria arquitectura urbanismo y afines;nocturna;18;soltero;M;nd;no;inem jorge isaacs;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2016-03;8947C;10098U;1198N;cali;4;2016;2;valle del cauca;cali;Administrative Sciences;contaduria publica;20109;economia administracion contaduria y afines;nocturna;20;soltero;M;urbana;no;colegio santa mariana de jesus cali;b;mixto;espanol;educacion tradicional;no;si;no;no;15-20;1;1
2017-01;9789C;10099U;3107N;cali;3;2017;1;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;diurna;20;soltero;M;urbana;no;colegio santa isabel de hungria sede alfonso lopez;a;mixto;espanol;educacion tradicional;si;si;no;no;15-20;1;1
2018-01;10879C;1009U;18628N;cali;1;2018;1;cauca;suarez;Administrative Sciences;contaduria publica;20109;economia administracion contaduria y afines;nocturna;18;soltero;F;urbana;no;colegio academico de asnazu;a;mixto;espanol;educacion tradicional;si;si;si;no;15-20;1;1
2009-01;365C;100U;14402N;cali;3;2009;1;valle del cauca;buenaventura;communication and social sciences;economia;20107;economia administracion contaduria y afines;diurna;23;soltero;M;nd;no;institucion educativa tecnica industrial gerardo valencia cano;nd;nd;nd;nd;nd;nd;nd;nd;21-25;1;0
2014-03;6224C;10100U;2592N;cali;3;2014;2;valle del cauca;palmira;Engineering;ingenieria biomedica;20151;ingenieria arquitectura urbanismo y afines;diurna;18;soltero;M;nd;no;colegio militar tecnico almirante colon;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2015-01;6896C;10101U;10896N;cali;2;2015;1;valle del cauca;buenaventura;Engineering;ingenieria biomedica;20151;ingenieria arquitectura urbanismo y afines;diurna;18;soltero;M;nd;no;instituto juan xxiii;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2015-03;7376C;10103U;13014N;cali;4;2015;2;valle del cauca;cali;Engineering;ingenieria mecatronica;20104;ingenieria arquitectura urbanismo y afines;diurna;19;soltero;M;nd;no;academia militar general jose maria cabal;b;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2016-01;7969C;10104U;9236N;cali;4;2016;1;valle del cauca;cali;Engineering;ingenieria mecanica;20096;ingenieria arquitectura urbanismo y afines;nocturna;19;soltero;M;nd;no;colegio parroquial san juan bautista;a;mixto;espanol:ingles;educacion tradicional;nd;nd;nd;nd;15-20;1;0
2015-03;7285C;10105U;11480N;cali;4;2015;2;valle del cauca;yumbo;humanities and arts;diseno de la comunicacion grafica;20118;bellas artes;diurna;19;soltero;F;nd;no;colegio internacional los canaverales;b;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2018-01;10496C;10106U;6610N;santander de quilichao;2;2018;1;cauca;santander de quilichao;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;21;soltero;M;urbana;no;institucion educativa limbania velasco;a;mixto;espanol;educacion tradicional;no;si;si;si;21-25;2;1
