period;cod_cod;cod_id;cod_name;city;stratum;year;semester;school_state;school_city;faculty;program;cod_snies;knowledge_area;shift;age;civil_status;gender;residence_zone;foreign;school_name;school_calendar;school_character;school_language;school_methodology;academic_aid;financial_aid;other_aid;study_and_work;age_mod;cantidad_matriculas;Cluster
2016-01;8173C;10474U;4139N;cali;2;2016;1;valle del cauca;cali;Engineering;ingenieria multimedia;20146;ingenieria arquitectura urbanismo y afines;diurna;18;soltero;M;nd;no;liceo mixto emperador de cali;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2017-01;9435C;10475U;12248N;cali;6;2017;1;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;nocturna;19;soltero;F;urbana;no;colegio ciudadela educativa la presentacion;b;femenino;espanol;educacion tradicional;no;si;no;si;15-20;1;1
2020-01;13740C;10477U;4566N;cali;1;2020;1;valle del cauca;cali;Engineering;ingenieria biomedica;20151;ingenieria arquitectura urbanismo y afines;diurna;22;soltero;M;nd;no;colegio compartir;a;mixto;espanol;educacion tradicional;nd;nd;nd;nd;21-25;1;0
2016-01;8296C;10478U;16332N;cali;1;2016;1;cauca;guapi;Engineering;ingenieria mecatronica;20104;ingenieria arquitectura urbanismo y afines;diurna;18;soltero;M;nd;no;colegio integral san jose;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2020-01;13796C;1047U;6559N;cali;4;2020;1;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;diurna;19;soltero;F;nd;no;centro de estudios para los sistemas de informacion cesi;b;mixto;espanol:ingles;aceleracion del aprendizaje;nd;nd;nd;nd;15-20;1;1
2018-01;11224C;10481U;16136N;cali;5;2018;1;valle del cauca;cali;Engineering;ingenieria biomedica;20151;ingenieria arquitectura urbanismo y afines;diurna;19;soltero;M;urbana;no;centro docente santa anita;a;mixto;espanol;educacion tradicional;no;no;no;si;15-20;1;0
2018-01;10969C;10483U;11627N;cali;2;2018;1;meta;villavicencio;Engineering;ingenieria electrica;20113;ingenieria arquitectura urbanismo y afines;nocturna;19;soltero;M;urbana;no;instituto politecnico agroindustrial;a;mixto;espanol;aceleracion del aprendizaje;no;no;no;si;15-20;1;0
2016-01;8172C;10485U;5812N;cali;1;2016;1;valle del cauca;cali;Engineering;ingenieria electronica y telecomunicaciones;55170;ingenieria arquitectura urbanismo y afines;diurna;17;soltero;M;nd;no;liceo colombo irlandes;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2017-01;9542C;10486U;7745N;cali;1;2017;1;valle del cauca;cali;humanities and arts;cine y comunicacion digital;54405;bellas artes;diurna;18;soltero;M;urbana;no;institucion educativa escuela normal superior farallones de cali;a;mixto;espanol:ingles;educacion tradicional;no;si;no;no;15-20;1;0
2016-01;8184C;10487U;13305N;cali;1;2016;1;valle del cauca;cali;Engineering;ingenieria industrial;20095;ingenieria arquitectura urbanismo y afines;diurna;17;soltero;M;nd;no;institucion educativa escuela normal superior farallones de cali;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2018-01;10849C;10489U;4519N;cali;1;2018;1;valle del cauca;cali;Engineering;ingenieria informatica;20115;ingenieria arquitectura urbanismo y afines;diurna;19;soltero;M;urbana;no;colegio santa isabel de hungria sede san felipe;a;mixto;espanol:ingles;educacion tradicional;no;no;no;no;15-20;1;0
2018-03;11837C;1048U;12808N;popayan;5;2018;2;cauca;popayan;Engineering;ingenieria biomedica;20151;ingenieria arquitectura urbanismo y afines;diurna;17;soltero;M;urbana;no;colegio champagnat popayan;b;mixto;espanol:ingles;educacion tradicional;no;no;no;no;15-20;1;0
2016-01;8216C;10490U;13299N;cali;1;2016;1;valle del cauca;cali;Administrative Sciences;contaduria publica;20109;economia administracion contaduria y afines;nocturna;17;soltero;F;nd;no;inem jorge isaacs;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2020-01;13692C;10491U;13051N;cali;2;2020;1;valle del cauca;cali;Administrative Sciences;administracion de empresas;20127;economia administracion contaduria y afines;diurna;21;union libre;M;nd;no;instituto ser internacional cali;a;mixto;espanol;programa para jovenes en extraedad y adultos;nd;nd;nd;nd;21-25;1;0
2018-01;11132C;10492U;16936N;cali;2;2018;1;valle del cauca;cali;Engineering;ingenieria multimedia;20146;ingenieria arquitectura urbanismo y afines;diurna;19;soltero;M;urbana;no;colegio santa isabel de hungria sede san felipe;a;mixto;espanol:ingles;educacion tradicional;no;si;no;no;15-20;1;0
2017-03;10335C;10493U;14657N;cali;1;2017;2;valle del cauca;cali;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;18;soltero;F;nd;no;colegio san francisco de asis cali;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2017-01;9494C;10494U;16866N;cali;1;2017;1;valle del cauca;cali;Engineering;ingenieria industrial;20095;ingenieria arquitectura urbanismo y afines;nocturna;17;soltero;M;nd;no;colegio santa isabel de hungria sede calimio desepaz;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2019-01;12077C;10496U;4707N;cali;1;2019;1;valle del cauca;cali;Administrative Sciences;administracion de empresas;20127;economia administracion contaduria y afines;diurna;19;soltero;F;urbana;no;institucion educativa la anunciacion cali;a;mixto;espanol;educacion tradicional;si;si;si;no;15-20;1;1
2017-01;9256C;10497U;3656N;cali;2;2017;1;valle del cauca;cali;Engineering;ingenieria multimedia;20146;ingenieria arquitectura urbanismo y afines;diurna;17;soltero;M;nd;no;colegio compartir;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2017-03;10127C;10498U;18134N;cali;1;2017;2;valle del cauca;cali;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;18;soltero;F;nd;no;centro docente liceo marisol;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
